ticker,pattern,direction,date,fwd3m,fwd6m,fwd12m
LHX,삼중바닥,up,2014-04,-0.06634598752756216,-0.041743127783622214,0.11905692221101694
LHX,삼중바닥,up,2015-02,0.032244703060797075,0.0009723095752094402,0.02964085430964003
LHX,삼중바닥,up,2015-07,-0.039699827337346005,0.062032267119901396,0.07118244976894039
LHX,삼중바닥,up,2015-11,-0.06147039256023268,-0.04042254359125996,0.27518284349696476
LHX,삼중바닥,up,2016-07,0.03575276062848909,0.19854857428932315,0.34871433373927774
LHX,삼중바닥,up,2017-07,0.22276695693994264,0.40458793881956456,0.46451766102043024
LHX,삼중바닥,up,2018-07,-0.09464182546722144,-0.06304711730402612,0.280038745125907
LHX,삼중바닥,up,2018-09,-0.20050530634111652,-0.04764811759978804,0.2532287921644927
LHX,삼중바닥,up,2019-05,0.12938691408350578,0.08204254922086407,0.07808288299226573
LHX,역H&S,up,2019-10,0.07674602661021757,-0.053399492406252524,-0.2055791945515154
LHX,삼중바닥,up,2020-01,-0.12086928189202684,-0.23274386586050222,-0.21116096453393696
LHX,쌍봉,down,2020-10,0.06918057942051115,0.3113275340957893,0.4580407166352993
LHX,삼중바닥,up,2021-04,0.08876088733243148,0.11188141690372899,0.13032081225736136
LHX,삼중바닥,up,2022-02,-0.041018772675735504,-0.08738255438851128,-0.14689221048083867
LHX,쌍봉,down,2022-09,0.006919873849988711,-0.045736186786352384,-0.142286855520114
LHX,쌍봉,down,2022-12,-0.05229419142856828,-0.048397223459743954,0.036686788059251185
LHX,쌍봉,down,2023-02,-0.16241366030416515,-0.14655155746676607,0.027105285314689587
LHX,쌍봉,down,2023-08,0.08492555484468078,0.20347666493596472,0.3599202841810303
LHX,역H&S,up,2024-04,0.06543903499060821,0.1679057397688195,0.04897741569985614
LHX,삼중바닥,up,2024-04,0.06543903499060821,0.1679057397688195,0.04897741569985614
LHX,삼중바닥,up,2025-07,0.056605861609202446,0.2582695373272541,0.024494219382821036
ASTS,쌍봉,down,2023-08,0.237244849550581,-0.19132652688850627,6.4081633546758505
ASTS,쌍봉,down,2024-04,8.357466039917096,9.773755228486985,9.502261847892832
ASTS,역H&S,up,2024-11,0.13859727922839604,-0.03107936949669632,1.3603528779296048
ASTS,삼중바닥,up,2025-06,0.050288943116602036,0.5542477629979912,0.9015621973211567
NVDA,삼중바닥,up,2014-04,-0.04815317009320308,0.06750604435812324,0.22264875869190237
NVDA,컵위드핸들,up,2014-05,0.028212562200012448,0.11325783819791413,0.1848233192158606
NVDA,삼중바닥,up,2014-08,0.0827117651781406,0.14337605435290768,0.17546274605263856
NVDA,컵위드핸들,up,2014-08,0.0827117651781406,0.14337605435290768,0.17546274605263856
NVDA,삼중바닥,up,2014-11,0.05602995287003809,0.06428473131955936,0.5377255201269147
NVDA,삼중바닥,up,2015-02,0.007816803327487687,0.028063113249201743,0.4448571984649734
NVDA,삼중바닥,up,2015-04,-0.09719122872779906,0.28924573382843466,0.6266602833071984
NVDA,삼중바닥,up,2015-09,0.34219670313602424,0.4562110380730997,1.8128834104950124
NVDA,삼중바닥,up,2016-03,0.32281980062282845,0.9316454393980562,2.0793206680444136
NVDA,삼중바닥,up,2017-05,0.1748473328699771,0.39263140110903705,0.7519969915599898
NVDA,삼중바닥,up,2018-08,-0.4171527557192811,-0.44928932680447664,-0.4007114638637136
NVDA,삼중바닥,up,2020-05,0.5075886441012032,0.5110838845822465,0.8328192139622792
NVDA,삼중바닥,up,2021-04,0.2994085319944524,0.7040784241769786,0.23654742753905622
NVDA,삼중바닥,up,2023-05,0.3046494821012513,0.2364195523530117,1.8986670321450734
NVDA,삼중바닥,up,2023-12,0.8246484940912955,1.494970905127377,1.7124926908417453
NVDA,삼중바닥,up,2024-11,-0.09635726938130207,-0.02241053834472506,0.2806564022157332
NVDA,삼중바닥,up,2025-06,0.181027358321044,0.18058674156990073,0.26815919983765624
IONQ,삼중바닥,up,2024-11,-0.3268493234294735,0.1052054836325449,0.35068491060439855
IONQ,삼중바닥,up,2025-09,-0.270406521432768,-0.5312195134356739,-0.4024390243902439
AVGO,삼중바닥,up,2014-04,0.09708663105921644,0.36883017668325935,0.8671329779316226
AVGO,삼중바닥,up,2014-09,0.16037937537783287,0.4691318961817974,0.4549733668760787
AVGO,삼중바닥,up,2015-12,0.06794059908662153,0.07755047360124734,0.23645599980745913
AVGO,삼중바닥,up,2016-03,0.008998510331796439,0.12353559444320328,0.4406314474272812
AVGO,삼중바닥,up,2017-01,0.11183644321533626,0.2472871445970568,0.2676899536599331
AVGO,쌍봉,down,2018-07,0.015322216211055562,0.23151025257507762,0.3560867305264721
AVGO,삼고점,down,2018-07,0.015322216211055562,0.23151025257507762,0.3560867305264721
AVGO,삼중바닥,up,2019-01,0.19755517203241113,0.10115748341591635,0.18126955540219214
AVGO,삼중바닥,up,2019-11,-0.12911860930883057,-0.053725362662671694,0.3301063952672143
AVGO,역H&S,up,2021-05,0.06091488422727109,0.19006538591386501,0.26337839857977063
